889.100232628848 + 0.00000000000000i;1025.52277057912 + 0.00000000000000i;1172.10316376172 + 0.00000000000000i;1206.81663807070 + 0.00000000000000i;1351.42486692585 + 0.00000000000000i;1352.05237994191 + 0.00000000000000i;1703.09712653777 + 0.00000000000000i;1825.29472387588 + 0.00000000000000i;2060.73122551990 + 0.00000000000000i;2096.11674566847 + 0.00000000000000i;2320.22462510430 + 0.00000000000000i
0.00289676674522915 + 0.00000000000000i;0.00171777074173018 + 0.00000000000000i;0.00367310787820899 + 0.00000000000000i;0.00473246584954670 + 0.00000000000000i;0.00333384275875952 + 0.00000000000000i;0.00344086426766656 + 0.00000000000000i;0.00495426636134696 + 0.00000000000000i;0.00322139112823591 + 0.00000000000000i;0.00166347567626688 + 0.00000000000000i;0.00139794967318580 + 0.00000000000000i;0.00123688959678833 + 0.00000000000000i
0.0109740911168227 - 0.000644989871373465i;-0.118597728572861 + 0.00181992550757203i;0.00366794276841670 + 0.00366659302147027i;0.00430797376281588 - 0.00183974854085789i;-0.0751287115006763 - 0.000684808590091522i;-0.102378601268997 - 0.00126486193929664i;0.000141039352819370 - 0.000336424851619395i;-0.000657633827256947 + 0.00101583957569135i;0.181369974294895 + 0.00744484286483409i;0.207125084212753 + 0.00000000000000i;0.193284600619835 + 0.00000000000000i
-0.00981917734178406 - 0.000149499048893101i;-0.109694043743376 + 0.000144295993896919i;0.00581416340252963 + 0.00555251884900345i;-0.000747954294740303 - 0.00179379164669955i;0.0987743737123168 + 0.00944650354778411i;0.134825483554185 + 0.0135668732944681i;-0.00961787153093536 + 0.0207762753785262i;-0.0109734534912044 - 0.00143620582789657i;0.279649875626273 + 0.00000000000000i;-0.170897950670455 - 0.00459186440268319i;-0.154255907640802 + 0.00120013093491973i
0.294829402278385 + 0.00000000000000i;-0.0185717892171308 - 0.00302654637297110i;0.0976555282268083 + 0.00000000000000i;0.114046424773567 + 0.00000000000000i;0.00466540910558847 - 0.0205731855900062i;0.00477899346775710 - 0.0282439758164702i;0.0907593679089575 + 0.00000000000000i;0.274003232768103 + 0.00000000000000i;-0.125261317861579 - 0.00226780198822360i;-0.205341064426646 + 0.00284036585563667i;0.00407038776448967 - 0.00127869074066023i
-0.245789730253122 - 0.000975929510909843i;-0.226705469147033 + 0.00000000000000i;-0.0696995138174446 + 0.0188459619443637i;0.0443082777840669 - 0.00504538485268494i;0.196309103020297 + 0.00000000000000i;0.267214157730445 + 0.00000000000000i;0.0336389680219125 - 0.0273723881683204i;0.197785602527445 + 0.00450433692624219i;-0.133407482366167 - 0.00279664985702137i;0.107849642398036 + 0.00419721035190202i;0.0609893068321211 - 0.00387800581434587i
0.231756333183870 - 0.000208605603716855i;-0.00850496959606256 + 0.00121606104548342i;-0.00121007106792190 - 0.000534543432959432i;0.00510926099214280 + 0.00155071079773848i;0.0286042552038254 - 0.000765048877869370i;0.0389731536155355 - 0.000885648549989578i;-0.0729347388059842 + 0.0197779471639106i;0.00182748284700756 + 0.000736949391131562i;0.00325281295739289 - 0.000546678637085979i;-0.0250734982433673 + 0.000165471214426073i;-0.0584079676419753 - 0.00173869380691797i
